"i","lw","np","nu","p","np_r","res","res2"
1,0,0.00598203594606474,0.02,0.00598203594606474,0.0140179640539353,0.0140179640539353,0.000196503316217421
2,0.02,0.02175976494879,0.04,0.00175976494878995,0.01824023505121,0.01824023505121,0.000332706174723392
3,0.04,0.0468662129224953,0.06,0.00686621292249526,0.0131337870775047,0.0131337870775047,0.00017249636299723
