n,elapsed_ms,iterations,residual_inf,x_error_inf,gflops,converged
1000,4.973696,6,2.24194906e-06,4.39042647e-09,134.038477,1
1500,7.480448,6,1.10745577e-06,1.46627493e-09,300.784133,1
2000,8.343744,5,2.44302590e-05,2.48937544e-08,639.201437,1
2500,10.458560,5,1.59336679e-05,1.29661589e-08,995.994351,1
3000,12.649024,5,1.28779019e-05,8.45147519e-09,1423.034693,1
3500,14.853696,5,9.51597349e-06,5.43181167e-09,1924.324665,1
