mu/lam,final_f,gens_to_f_lt_0.01,time_sec
10/50,0.005638100087332169,4,0.002582073211669922
20/100,0.00656831228977094,4,0.005085945129394531
40/200,0.00621891507342337,3,0.012078046798706055
