mu/lam,final_f,gens_to_f_lt_0.01,time_sec
10/50,0.006420525179717182,28,0.018352985382080078
20/100,0.005895105762869915,8,0.021919965744018555
40/200,0.003214374835302846,10,0.05011391639709473
