n,procs,time_ms,verify_err,rel_err
10,4,0.0143,8.307675e+35,1.052584e-15
20,4,0.1840,3.899014e+89,3.381657e-15
30,4,1.2525,1.426737e+144,1.647160e-14
50,4,12.8466,7.214254e+255,1.689955e-14
70,4,62.4875,0.000000e+00,0.000000e+00
100,4,348.4722,0.000000e+00,0.000000e+00
