n,procs,time_ms,verify_err,rel_err
10,5,0.0095,8.307675e+35,1.052584e-15
20,5,0.1573,3.899014e+89,3.381657e-15
30,5,0.8813,1.426737e+144,1.647160e-14
50,5,10.0977,7.214254e+255,1.689955e-14
70,5,48.7343,0.000000e+00,0.000000e+00
100,5,280.3860,0.000000e+00,0.000000e+00
