n,procs,time_ms,verify_err,rel_err
10,3,0.0180,8.307675e+35,1.052584e-15
20,3,0.2790,3.899014e+89,3.381657e-15
30,3,1.5936,1.426737e+144,1.647160e-14
50,3,16.7261,7.214254e+255,1.689955e-14
70,3,83.8941,0.000000e+00,0.000000e+00
100,3,481.3977,0.000000e+00,0.000000e+00
