n,procs,time_ms,verify_err,rel_err
10,9,0.0278,8.307675e+35,1.052584e-15
20,9,0.1227,3.899014e+89,3.381657e-15
30,9,0.6323,1.426737e+144,1.647160e-14
50,9,6.0947,7.214254e+255,1.689955e-14
70,9,27.8153,0.000000e+00,0.000000e+00
100,9,168.5589,0.000000e+00,0.000000e+00
