n,procs,time_ms,verify_err,rel_err
10,10,0.0054,8.307675e+35,1.052584e-15
20,10,0.0824,3.899014e+89,3.381657e-15
30,10,0.4679,1.426737e+144,1.647160e-14
50,10,5.0744,7.214254e+255,1.689955e-14
70,10,24.6895,0.000000e+00,0.000000e+00
100,10,139.8403,0.000000e+00,0.000000e+00
