n,procs,time_ms,verify_err,rel_err
10,1,0.0572,8.307675e+35,1.052584e-15
20,1,0.8397,3.899014e+89,3.381657e-15
30,1,4.7708,1.426737e+144,1.647160e-14
50,1,50.4956,7.214254e+255,1.689955e-14
70,1,246.9570,0.000000e+00,0.000000e+00
100,1,1391.7070,0.000000e+00,0.000000e+00
