n,procs,time_ms,verify_err,rel_err
10,6,0.0100,8.307675e+35,1.052584e-15
20,6,0.1565,3.899014e+89,3.381657e-15
30,6,0.7754,1.426737e+144,1.647160e-14
50,6,9.1727,7.214254e+255,1.689955e-14
70,6,41.8479,0.000000e+00,0.000000e+00
100,6,239.0633,0.000000e+00,0.000000e+00
