n,procs,time_ms,verify_err,rel_err
10,8,0.0100,8.307675e+35,1.052584e-15
20,8,0.1130,3.899014e+89,3.381657e-15
30,8,0.6276,1.426737e+144,1.647160e-14
50,8,7.1722,7.214254e+255,1.689955e-14
70,8,31.4077,0.000000e+00,0.000000e+00
100,8,183.7432,0.000000e+00,0.000000e+00
