n,procs,time_ms,verify_err,rel_err
10,7,0.0097,8.307675e+35,1.052584e-15
20,7,0.1139,3.899014e+89,3.381657e-15
30,7,0.7814,1.426737e+144,1.647160e-14
50,7,7.9869,7.214254e+255,1.689955e-14
70,7,36.6206,0.000000e+00,0.000000e+00
100,7,209.7584,0.000000e+00,0.000000e+00
