mu/lam,final_f,gens_to_f_lt_0.01,time_sec
10/50,0.007379262275522273,17,0.010538101196289062
20/100,0.006742238524049774,25,0.030556917190551758
40/200,0.002415298951404583,9,0.02190113067626953
