mu/lam,final_f,gens_to_f_lt_0.01,time_sec
10/50,0.008509852704122703,8,0.005154132843017578
20/100,0.0023671240960941994,3,0.0035979747772216797
40/200,0.003000202031520978,3,0.0074748992919921875
