init_step,final_f,gens_to_f_lt_0.01,time_sec
0.05,0.006080854237723898,8,0.010612964630126953
0.1,0.004930840525669033,8,0.009958028793334961
0.5,0.0012808061667096303,12,0.014410018920898438
1.0,0.007974167347624617,14,0.016870737075805664
2.0,0.009185487639764811,20,0.024247169494628906
